session_id,station_id,vehicle_id,start_time,end_time,energy_kwh,cost
1,ST003,V184,2025-04-07 17:23:00,2025-04-07 18:54:00,22.1,331.5
2,ST003,V037,2025-04-04 18:29:00,2025-04-04 19:05:00,18.77,281.55
3,ST003,V150,2025-04-09 01:39:00,2025-04-09 02:15:00,19.16,287.4
4,ST001,V137,2025-04-07 02:44:00,2025-04-07 04:00:00,22.8,342.0
5,ST001,V063,2025-04-04 03:06:00,2025-04-04 03:54:00,21.6,324.0
6,ST003,V125,2025-04-06 01:28:00,2025-04-06 02:47:00,20.8,312.0
7,ST004,V095,2025-04-05 12:02:00,2025-04-05 13:37:00,10.21,153.15
8,ST002,V200,2025-04-10 05:14:00,2025-04-10 06:15:00,22.96,344.4
9,ST001,V166,2025-04-08 08:02:00,2025-04-08 09:27:00,14.56,218.4
10,ST001,V021,2025-04-06 18:38:00,2025-04-06 19:17:00,23.93,358.95
11,ST001,V085,2025-04-01 19:50:00,2025-04-01 21:34:00,12.76,191.4
12,ST003,V067,2025-04-10 20:49:00,2025-04-10 22:29:00,24.33,364.95
13,ST002,V065,2025-04-07 08:50:00,2025-04-07 09:58:00,13.47,202.05
14,ST005,V109,2025-04-06 02:34:00,2025-04-06 04:32:00,23.2,348.0
15,ST003,V023,2025-04-07 06:54:00,2025-04-07 08:42:00,12.44,186.6
16,ST003,V150,2025-04-10 09:21:00,2025-04-10 10:27:00,22.73,340.95
17,ST001,V121,2025-04-01 11:50:00,2025-04-01 13:30:00,12.31,184.65
18,ST003,V046,2025-04-03 16:11:00,2025-04-03 17:48:00,16.11,241.65
19,ST003,V095,2025-04-03 14:37:00,2025-04-03 15:50:00,20.32,304.8
20,ST005,V008,2025-04-06 08:40:00,2025-04-06 09:11:00,17.68,265.2
21,ST001,V171,2025-04-07 03:03:00,2025-04-07 03:59:00,13.71,205.65
22,ST003,V106,2025-04-06 23:14:00,2025-04-07 00:12:00,21.05,315.75
23,ST004,V092,2025-04-10 12:08:00,2025-04-10 12:56:00,17.47,262.05
24,ST001,V182,2025-04-10 01:04:00,2025-04-10 02:09:00,19.49,292.35
25,ST005,V194,2025-04-07 04:37:00,2025-04-07 05:24:00,11.89,178.35
26,ST004,V065,2025-04-02 09:32:00,2025-04-02 10:43:00,21.75,326.25
27,ST004,V067,2025-04-01 10:22:00,2025-04-01 11:28:00,10.87,163.05
28,ST001,V131,2025-04-09 05:49:00,2025-04-09 07:05:00,22.59,338.85
29,ST001,V199,2025-04-09 19:56:00,2025-04-09 20:35:00,20.95,314.25
30,ST001,V102,2025-04-09 05:29:00,2025-04-09 06:57:00,22.32,334.8
31,ST001,V038,2025-04-02 09:53:00,2025-04-02 11:49:00,12.82,192.3
32,ST004,V072,2025-04-04 18:11:00,2025-04-04 19:41:00,16.03,240.45
33,ST002,V097,2025-04-02 05:05:00,2025-04-02 06:22:00,18.34,275.1
34,ST001,V012,2025-04-05 13:21:00,2025-04-05 14:23:00,18.37,275.55
35,ST005,V080,2025-04-08 20:02:00,2025-04-08 21:49:00,16.39,245.85
36,ST001,V148,2025-04-02 18:51:00,2025-04-02 19:56:00,23.92,358.8
37,ST001,V150,2025-04-09 10:42:00,2025-04-09 11:47:00,18.41,276.15
38,ST005,V026,2025-04-03 06:37:00,2025-04-03 07:22:00,10.43,156.45
39,ST005,V121,2025-04-01 01:55:00,2025-04-01 03:49:00,23.8,357.0
40,ST002,V184,2025-04-08 20:02:00,2025-04-08 21:51:00,15.4,231.0
41,ST001,V162,2025-04-02 22:12:00,2025-04-03 00:02:00,14.75,221.25
42,ST004,V168,2025-04-09 10:59:00,2025-04-09 11:51:00,17.73,265.95
43,ST003,V041,2025-04-06 19:45:00,2025-04-06 20:18:00,13.84,207.6
44,ST002,V020,2025-04-07 21:38:00,2025-04-07 22:28:00,17.61,264.15
45,ST002,V105,2025-04-03 19:55:00,2025-04-03 21:24:00,16.47,247.05
46,ST004,V142,2025-04-01 13:12:00,2025-04-01 13:42:00,22.31,334.65
